Date,Product,Price,Qty
2050-01-01,Camera,191.69,2
2050-01-02,Table,137.98,8
2050-01-03,Table,185.51,1
2050-01-04,Camera,70.62,11
2050-01-05,Camera,70.89,11
2050-01-06,Table,171.11,3
2050-01-07,Table,109.65,9
2050-01-08,Camera,74.8,3
2050-01-09,Table,189.13,2
2050-01-10,Camera,102.16,5
2050-01-11,Table,162.62,1
2050-01-12,Phone,158.9,13
2050-01-13,Camera,182.5,5
2050-01-14,Phone,143.55,2
2050-01-15,Table,162.64,8
2050-01-16,Phone,102.33,4
2050-01-17,Camera,90.49,2
2050-01-18,Phone,184.38,13
2050-01-19,Table,114.21,7
2050-01-20,Table,194.73,7
2050-01-21,Phone,149.52,10
2050-01-22,Table,143.25,11
2050-01-23,Camera,67.21,14
2050-01-24,Phone,192.42,7
2050-01-25,Phone,117.49,10
2050-01-26,Table,136.76,7
2050-01-27,Camera,111.22,1
2050-01-28,Camera,85.55,1
2050-01-29,Phone,185.51,3
2050-01-30,Table,136.05,13
2050-01-31,Phone,50.43,10
2050-02-01,Camera,142.57,7
2050-02-02,Camera,99.0,1
2050-02-03,Camera,129.06,7
2050-02-04,Camera,182.89,8
2050-02-05,Phone,103.59,1
2050-02-06,Camera,186.28,4
2050-02-07,Camera,143.5,10
2050-02-08,Table,52.37,1
2050-02-09,Table,189.42,13
2050-02-10,Camera,153.63,4
2050-02-11,Table,199.6,11
2050-02-12,Table,75.85,12
2050-02-13,Camera,70.57,5
2050-02-14,Phone,189.89,8
2050-02-15,Camera,154.52,6
2050-02-16,Table,59.9,13
2050-02-17,Phone,163.32,4
2050-02-18,Phone,163.08,9
2050-02-19,Camera,188.45,9
2050-02-20,Camera,156.73,1
2050-02-21,Camera,68.64,7
2050-02-22,Table,52.98,8
2050-02-23,Table,53.93,13
2050-02-24,Camera,54.25,14
2050-02-25,Table,86.93,10
2050-02-26,Phone,179.0,6
2050-02-27,Table,130.82,5
2050-02-28,Table,132.92,10
2050-03-01,Camera,176.3,11
2050-03-02,Camera,68.63,6
2050-03-03,Phone,91.88,3
2050-03-04,Table,137.86,14
2050-03-05,Table,195.44,13
2050-03-06,Camera,134.15,6
2050-03-07,Phone,52.8,7
2050-03-08,Phone,170.09,12
2050-03-09,Camera,84.95,7
2050-03-10,Table,171.07,13
2050-03-11,Phone,108.18,13
2050-03-12,Camera,179.53,9
2050-03-13,Phone,162.07,12
2050-03-14,Camera,133.44,11
2050-03-15,Table,70.47,13
2050-03-16,Camera,58.99,8
2050-03-17,Camera,68.2,8
2050-03-18,Phone,56.68,8
2050-03-19,Table,66.12,14
2050-03-20,Table,83.86,12
2050-03-21,Phone,156.95,13
2050-03-22,Phone,133.96,3
2050-03-23,Camera,51.88,7
2050-03-24,Table,60.8,12
2050-03-25,Phone,195.09,1
2050-03-26,Phone,135.22,14
2050-03-27,Phone,80.49,6
2050-03-28,Table,87.85,3
2050-03-29,Table,161.57,2
2050-03-30,Camera,79.31,12
2050-03-31,Camera,137.2,11
2050-04-01,Camera,195.5,9
2050-04-02,Table,177.02,6
2050-04-03,Table,85.98,10
2050-04-04,Camera,124.07,5
2050-04-05,Camera,142.99,10
2050-04-06,Phone,174.35,12
2050-04-07,Table,73.52,12
2050-04-08,Camera,52.79,2
2050-04-09,Phone,60.5,3
2050-04-10,Phone,122.95,1
